id,trigger,conditions,script,text,options,notes
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Leave,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Leave,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","A cowd wight fiwws the viewscween, stawk against the uttew dawkness of the hypewspace abyss. It seems to puwse, shifting dimmew and then bwightew, fowwowing no discewnabwe pattewn. It does not fwickew wike a fwame, now wike a faiwing comms signaw, but wike... something at the edge of youw consciousness. It is...

You find you awe abwe to anticipate the whythm, mowe seen than heawd, the dancing wight fiwwing youw vision...

A powite cough fwom youw sensows officew bwings you back to the pwesent. ""$PlayerSirOrMadam?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
FireAll AbyssalLightOptions","The cowd wight fiwws the viewscween, stawk against the abyss. The subtwe puwse of the wight begs fow attention, but gives no pwomise of comfowt.

You give youw head hawf a shake, centewing youw attention on youw bwidge officews to give youw next owdew.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensors, what are we looking at?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. Is there a problem?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Leave,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""It's an abyssaw wight, $playerSirOrMadam.""

Youw sensows officew quickwy weawizes that this statement is as obvious as it is uniwwuminating.

""And. We don't know exactwy what it... is. Thewe's fwagmentawy pwe-Cowwapse data. Some academicians specuwate that it might be a spontaneous buiwdup of dawk enewgy, maybe, awound a tempowawy hypewspace quasistwuctuwe, a sowt of knot in highew dimensions that awtews the physicaw effects of... whatevew it is.""

You catch youw ops chief making the spacew hand-sign fow 'aww seaws confiwmed safe', a sowt of wawd against eviw.",abyssalLight_what2:Continue,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""They'we not known, um, to be dangewous,"" youw sensows officew continues, tapping at the consowe. ""The dwive fiewd shouwd keep us safe.""

""It does appeaw to be highwy unstabwe. They awways awe, and they'we difficuwt to pwopewwy scan. I think if we twied an active scan ow fiwed off an intewdiction puwse it wouwd cowwapse; the wesuwting dischawge might awwow us to chawt wocaw hypewspace topogwaphy.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Youw ops chief, nowmawwy unfwappabwe, awmost fwinches.

""$PlayerSirOrMadam. No, $playerSirOrMadam.""

You wet the siwence wingew, wetting ops know that deniaw is not enough of an answew.

""Captain."" Ops wooks at you diwectwy. ""It's said to be... bad wuck to meddwe with things this deep in hypewspace."" Ops stands up stwaightew, ""I've no technicaw opinion; I waise the point onwy as a mattew of cwew mowawe. Mewe dockside supewstition, I'm suwe.""","abyssalLight_askOpsOutA:""Understood, I'll be mindful. Thank you chief.""
abyssalLight_askOpsOutB:""Such superstition has no place on my bridge, is that understood?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam,"" youw ops chief says, then tuwns back to the main dispway, detewmined to make nothing mowe of it.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Undewstood, $playerSirOrMadam."" Youw ops chief tuwns back to the main dispway, detewmined to make nothing mowe of it.",,
,,,,,,
# Abyssal Light - Shrouded Dweller,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Cowd wight fiwws the pwimawy dispway, stawk against the abyss. The subtwe puwse begs fow youw attention yet offews no pwomise of comfowt.

Aftew a moment you consciouswy puww youw eyes fwom the pitiwess sight, centewing youw attention on youw bwidge officews to give youw next owdew.",abyssalLight_dwellerCont:Continue,
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Cowd wight begins to gwow in the pwimawy dispway. A subtwe puwse begs fow youw attention.

""Captain, I-"" It's youw navigation officew, who gwances at sensows and weceives a nod. ""The wight is moving. Coming cwosew.""

You consciouswy puww youw eyes fwom that comfowtwess wight - diminished but not beweft of its caww thwough even the meagew medium of the pwimawy dispway.

It's come to you.",abyssalLight_dwellerCont:Continue,
abyssalLight_dwellerContSel,DialogOptionSelected,$option == abyssalLight_dwellerCont,,"""$PlayerSirOrMadam!"" Youw sensows officew's voice is stwained. ""Picking up - fwom the wight - they came fwom out of nowhewe!"" 

Navigation intewwupts, ""$ShipOrFleet dwive bubbwe in the wed, instabiwity incweasing... howding... awewt to muwtipwe penetwations. N-space fissuwes detected inside the vowume.""

A pause as the bwidge cwew takes in the ewuption of awewts on theiw dispways. Tacticaw takes initiative and activates the combat awawm to send aww cwew to battwe stations. Fwantic activity fwom aww posts, chattew between the stations coowdinating wesponse.

Sensows cawws ovew the wow din: ""It's homing in on ouw active sensow emissions.""","abyssalLight_maxSensors:Order a sensor sweep, full power, focused on the anomalous drive-bubble penetrations
abyssalLight_wait:Wait
abyssalLight_emCon:""Go to maximum emission control! EMCON zero-zero alpha, immediate execute.""",
abyssalLight_maxSensorsSel,DialogOptionSelected,$option == abyssalLight_maxSensors,DwellerCMD largeFleet,"""Aye $playerSirOrMadam! Executing."" Sensows bawks, then deftwy executes a sewies of ovewwides. 

Youw $shipOrFleet status is up on the centwaw dispway - shiewd bubbwe an unsteady ambew, incuwsions of N-space fissuwes mawked in gawish wed. A bwink of white as active sensows twiggew and-

-pwessuwe on the dwive bubbwe spikes, an ambew fwash, a cacophony of awawms...

* * *

A hidden bwackness waiting, wuwking, jowts awake. Tendwiws wunge eagewwy, hungwiwy, thwough fissuwes in the dawk behind the night.",,
abyssalLight_emConSel,DialogOptionSelected,$option == abyssalLight_emCon,DwellerCMD smallFleet,"At youw command, the unpewceived chowus of a muwtitude of ship systems and machinewy dies down with a deepening sigh into muted quietude.

Aww that wemains is the bweath and bodies of youw bwidge cwew, a stwange assewtion of youw shawed humanity. 

Backup e-wighting, simpwe chemicaw things, pwovide an eewie gwow. A sewies of dimwy puwsing commands iwwuminate youw executive intewface - a fwock of awdent subsystems weady to awaken fwom minimum opewation at youw touch.

* * *

A hidden bwackness feews the bwush of a shadow. Wess than a mowsew, unwowthy of wakefuwness. By some anawog of distwibuted instinct a few wistwess tendwiws expwowe this distuwbance, this wippwe in the dawkness behind the night.",,
abyssalLight_dwellerWaitSel,DialogOptionSelected,$option == abyssalLight_wait,DwellerCMD mediumFleet,"You wait.

Awawms awe weset, battwe westwaints engaged. Activity on the bwidge gwaduawwy quiets as aww officews, cwew, and systems weach a state of weadiness, even anticipation - fight ow fwight.

The incuwsions cwaww cwosew to the centew of youw dispway vowume, expanding unwavewingwy and intentionawwy. 

Aww eyes awe on command intewfaces, and aww attention is on youw next owdew.",,
,,,,,,
# Shrouded Substrate - analyzing / making weapons,,,,,,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,"ShowImageVisual shrouded_weapon_assembly
SetStoryOption shroudedSubstrateBegin 1 analyzeSubstrate technology ""Analyzed Shrouded Substrate""","You join youw technowogy officew and engineewing chief in a smaww bwiefing woom ovewwooking the shop bay dedicated to what has been euphemisticawwy dubbed ""speciaw sawvage"".

Haz-suited technicians attend to the containment machinewy, stepping ovew coiws of tube and wiwe. A mess of makeshift components wewe puwwed fwom the common micwofowge wibwawies then town apawt and we-engineewed to opewate in this unusuaw, even extwaowdinawy, appwication.

Engineewing weaws a fwown, tapping a TwiPad as they obsewve the ongoing wowk. Tech can bawewy contain theiw excitement. 

""$PlayerSirOrMadam,"" they say in unison at youw awwivaw.","shroudedSubstrateBegin:""So. What is it?""
defaultLeave:Leave","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
shroudedSubstrateBegin2,DialogOptionSelected,$option == shroudedSubstrateBegin,FireAll shroudedSubstrateBeginOpts,"""Exotic mattew!"" Tech excwaims.

Engineewing intewwupts. ""Anothew way of saying 'we don't know what it is', and 'it doesn't act how physics says it shouwd'."" 

Youw technowogy officew begins again, enthusiasm tempewed - somewhat. ""Obviouswy, I was about to- $playerSirOrMadam,"" Tech tuwns to face onwy you, pewhaps to cuwb fuwthew intewwuptions. ""Anawysis is pwewiminawy and pwoceeding,"" a quick gwimpse at the fwowning engineewing chief, ""cawefuwwy.""",,
shroudedSubstrateOptA,shroudedSubstrateBeginOpts,!$saidWhatIsIt,,,"shroudedSubstrate_optSelA:""So... what is it?""",
shroudedSubstrateOptGA,shroudedSubstrateBeginOpts,$canSayGA,,,"shroudedSubstrate_optSelAga2:""The Galatia Academy would be interested, I think.""",
shroudedSubstrateOptB,shroudedSubstrateBeginOpts,!$saidValuable,,,"shroudedSubstrate_optSelB:""Is it valuable?""",
shroudedSubstrateOptC,shroudedSubstrateBeginOpts,!$saidUseful,,,"shroudedSubstrate_optSelC:""Is it useful?""",
shroudedSubstrateOptD,shroudedSubstrateBeginOpts,!$saidDestroyed,,,"shroudedSubstrate_optSelD:""Can it be destroyed?""",
shroudedSubstrateOptE,shroudedSubstrateBeginOpts,!$saidWeaponized,,,"shroudedSubstrate_optSelE:""Can it be weaponized?""",
shroudedSubstrateOptF,shroudedSubstrateBeginOpts,$saidWeaponized,,,"shroudedSubstrate_optSelF:""Show me what you can do.""",
shroudedSubstrateOptSelA,DialogOptionSelected,$option == shroudedSubstrate_optSelA,"$saidWhatIsIt = true 0
$canSayGA = true 0","Youw engineewing chief makes a show of wooking to Tech expectantwy, mouth quite intentionawwy shut. It appeaws they've had this awgument awweady.

""As, um."" Tech passes a wook of constewnation back towawd youw chief engineew.

""In twuth, I couwd not say, exactwy. And unfowtunatewy we'we not equipped to pewfowm a fuww scientific investigation. Cweawwy it is a pawt of, ow a pwoduct of the, the... hostiwe fowce which we bested. But to know what it IS... you'd need a fuww science team and wabowatowy faciwities to even begin to appwoach the wight questions, to say nothing of answews...""","shroudedSubstrate_optSelAga:""Like the Galatia Academy.""
shroudedSubstrate_optSelAtt:""Like Tri-Tachyon.""",
shroudedSubstrateOptSelAga,DialogOptionSelected,$option == shroudedSubstrate_optSelAga,,"""Yes, exactwy."" Tech nods. ""Awthough...""","shroudedSubstrate_optSelAga2:""Although?""",
shroudedSubstrateOptSelAga2,DialogOptionSelected,$option == shroudedSubstrate_optSelAga2,unset $canSayGA,"Youw engineewing chief answews. ""Yes, thewe's nothing wike this in the pubwic awchives. The Gawatia Academy is supposed to be neutwaw. But as you know, $playerSirOrMadam, the Hegemony wiww weach in to put its hands on the contwows, so to speak, if it sees something it doesn't wike. The Hegemony doesn't wike diswuption. And this...""

A hand is extended to indicate the contents of the wowkbay.

Tech nods agweement, ""The Ministwy of Technowogy Standawds wouwd suwewy seize such specimens. I couwd not say what they wouwd do with them, but we wouwd not see them evew again. That much is cewtain.""","shroudedSubstrate_optSelAtt:""Tri-Tachyon then.""",
shroudedSubstrateOptSelAga2b,DialogOptionSelected,"$option == shroudedSubstrate_optSelAga2
$saidTTthen","unset $canSayGA
FireAll shroudedSubstrateBeginOpts","Youw engineewing chief answews. ""Yes, thewe's nothing wike this in the pubwic awchives. The Gawatia Academy is supposed to be neutwaw. But as you know, $playerSirOrMadam, the Hegemony wiww weach in to put its hands on the contwows, so to speak, if it sees something it doesn't wike. The Hegemony doesn't wike diswuption. And this...""

A hand is extended to indicate the contents of the wowkbay.

Tech nods agweement, ""The Ministwy of Technowogy Standawds wouwd suwewy seize such specimens. I couwd not say what they wouwd do with them, but we wouwd not see them evew again. That much is cewtain.""",,
shroudedSubstrateOptSelAtt,DialogOptionSelected,$option == shroudedSubstrate_optSelAtt,$saidTTthen = true 0,"Tech nods, ""Yes, theiw faciwities wouwd be mowe than abwe to pewfowm this weseawch. And,"" a smiwe, ""they awe wikewy to pay vewy weww, if what they say is twue.""","shroudedSubstrate_optSelAttA:""What exactly do 'they' say?""
shroudedSubstrate_optSelAttB:""Who is this 'they'?""",
shroudedSubstrateOptSelAttA,DialogOptionSelected,$option == shroudedSubstrate_optSelAttA,FireAll shroudedSubstrateBeginOpts,"""The Company pays vewy weww indeed fow unique specimens,"" Tech expwains. ""Awtifacts; Domain tech, xenobiowogy. Anything unknown to the pwesent Pewsean Sectow, anything stwange which might demonstwate uncommon pwincipwes ow sewve an unexpected use.""",,
shroudedSubstrateOptSelAttB,DialogOptionSelected,$option == shroudedSubstrate_optSelAttB,FireAll shroudedSubstrateBeginOpts,"""Independent sawvows, scavengews, fwinge suwveyows,"" Tech expwains.

""Those sowts of peopwe who might find awtifacts, specimens; Domain tech, xenobiowogy. Anything unknown to the pwesent Pewsean Sectow, anything stwange which might demonstwate uncommon pwincipwes ow sewve unexpected use. Twi-Tachyon makes it known that gweat wewawds wiww be paid if they awe bwought 'exampwes of speciaw intewest'.""",,
shroudedSubstrateOptSelB,DialogOptionSelected,$option == shroudedSubstrate_optSelB,"$saidValuable = true 0
FireAll shroudedSubstrateBeginOpts","""Extwemewy,"" Tech answews, exchanging a wook with youw chief engineew. ""If the enewgy output watio scawes as pwojected...""

""It's dangewous,"" Engineewing says. ""It's awmost too easy to buiwd a weapon with this 'substwate'. Imagine if the Pathews-""

""-Yes, yes, anothew Maiwaath,"" Tech intewwupts. ""As with any appwied technowogy, sufficientwy powewfuw, it couwd... $playerSirOrMadam. To answew youw quewy, yes, extwemewy vawuabwe.""",,
shroudedSubstrateOptSelC,DialogOptionSelected,$option == shroudedSubstrate_optSelC,"$saidUseful = true 0
FireAll shroudedSubstrateBeginOpts","""Vewy,"" youw technowogy officew exchanges anothew wook with Engineewing. ""In my pwofessionaw opinion.""

""When stabiwized, and... pwovoked, it appeaws to cweate enewgy fwom... somewhewe ewse. Ow twansfowm it, enhance it. The gain is spectacuwaw.""

Youw chief engineew steps fowwawd. ""That test with the wasew-cuttew wouwd have bwown a howe thwough the huww if,"" a gwance at Tech, ""if we wewe not fowwowing pwotocow by using a bwast-pwate backing in the test zone.""

""Wook, I did concede you wewe cowwect to-"" Tech catches youw expwession and shuts up, putting on a defewentiaw wook.",,
shroudedSubstrateOptSelD,DialogOptionSelected,$option == shroudedSubstrate_optSelD,"$saidDestroyed = true 0
FireAll shroudedSubstrateBeginOpts","Engineewing smiwks at Tech.

""It is essentiawwy unstabwe, if weft awone,"" Tech admits. ""Without containment, it wiww,"" a pause, seawching fow the wowd. 

""Fade away? No, withdwaw. Swowwy. The pwocess is non-wineaw, and appeaws to accewewate, given time. Awthough it's hawd to measuwe exact tewms of mass, vowume, ow... output. It aww just becomes... wess.""",,
