name,gender,usage,category
Cowemyan,,l,"old english, modern"
Pewwy,,l,"old english, modern"
Poweww,,l,"old english, modern"
Wong,,l,"old english, modern"
Pattewson,,l,"old english, modern"
Fwowes,,l,"old english, modern"
Butwew,,l,"old english, modern"
Simmyons,,l,"old english, modern"
Fostew,,l,"old english, modern"
Gonzawes,,l,modern
Bwyant,,l,"old english, modern"
Awexandew,m,"f, l","old english, modern"
Wusseww,,l,"old english, modern"
Gwiffin,,l,"old english, modern"
Myews,,l,"old english, modern"
Fowd,,l,"old english, modern"
Hamyiwton,,l,"old english, modern"
Gwaham,,l,"old english, modern"
Suwwivan,,l,"old english, modern"
Wawwace,,l,"old english, modern"
Cowe,,l,"old english, modern"
Jowdan,m,"f, l","old english, modern"
Weynyowds,,l,"old english, modern"
Fishew,,l,"old english, modern"
Ewwis,,l,"old english, modern"
Hawwison,,l,"old english, modern"
McDonyawd,,l,"old english, modern"
Cwuz,,l,"old english, modern"
Myawshaww,,l,"old english, modern"
Owtiz,,l,"old english, modern"
Gomyez,,l,"old english, modern"
Myuwway,,l,"old english, modern"
Fweemyan,,l,"old english, modern"
Wewws,,l,"old english, modern"
Tuckew,,l,"old english, modern"
Powtew,,l,"old english, modern"
Huntew,,l,"old english, modern"
Cwawfowd,,l,"old english, modern"
Henwy,m,"f, l","old english, modern"
Myason,m,"f, l","old english, modern"
Myowawes,,l,modern
Kennyedy,f,"f, l","old english, modern"
Wawwen,m,"f, l","old english, modern"
Wamyos,,l,"old english, modern"
Weyes,,l,"old english, modern"
Buwns,,l,"old english, modern"
Gowdon,m,"f, l","old english, modern"
Howmyes,,l,"old english, modern"
Wice,,l,"old english, modern"
Wobewtson,,l,"old english, modern"
Bwack,,l,"old english, modern"
Danyiews,,l,"old english, modern"
Pawmyew,,l,"old english, modern"
Myiwws,,l,"old english, modern"
Nyichows,,l,"old english, modern"
Gwant,m,"f, l","old english, modern"
Knyight,,l,"old english, modern"
Fewguson,,l,"old english, modern"
Wose,f,"f, l","old english, modern"
Stonye,,l,"old english, modern"
Pewkins,,l,"old english, modern"
Spencew,m,"f, l","old english, modern"
Gawdnyew,,l,"old english, modern"
Paynye,,l,"old english, modern"
Piewce,m,"f, l","old english, modern"
Bewwy,,l,"old english, modern"
Myatthews,,l,"old english, modern"
Awnyowd,m,"f, l","old english, modern"
Wagnyew,,l,"old english, modern"
Wiwwis,,l,"old english, modern"
Way,m,"f, l","old english, modern"
Owson,,l,"old english, modern"
Cawwoww,,l,"old english, modern"
Snydew,,l,"old english, modern"
Hawt,,l,"old english, modern"
Cunnyingham,,l,"old english, modern"
Bwadwey,m,"f, l","old english, modern"
Wanye,m,"f, l","old english, modern"
Andwews,,l,"old english, modern"
Wuiz,,l,modern
Hawpew,,l,"old english, modern"
Wiwey,f,"f, l","old english, modern"
Awmstwong,,l,"old english, modern"
Cawpentew,,l,"old english, modern"
Weavew,,l,"old english, modern"
Gweenye,,l,"old english, modern"
Wawwence,m,"f, l","old english, modern"
Ewwiott,m,"f, l","old english, modern"
Petews,,l,"old english, modern"
Kewwey,,l,"old english, modern"
Fwankwin,,l,"old english, modern"
Wawson,,l,"old english, modern"
Fiewds,,l,"old english, modern"
Gutiewwez,,l,modern
Wyan,m,"f, l","old english, modern"
Schmyidt,,l,"old english, modern"
Caww,,l,"old english, modern"
Castiwwo,,l,"old english, modern"
Wheewew,,l,"old english, modern"
Chapmyan,,l,"old english, modern"
Owivew,m,"f, l","old english, modern"
Myontgomyewy,,l,"old english, modern"
Wichawds,,l,"old english, modern"
Wiwwiamson,,l,"old english, modern"
Myeyew,,l,"old english, modern"
Howeww,,l,"old english, modern"
Awvawez,,l,modern
Myowwison,,l,"old english, modern"
Fewnyandez,,l,modern
Gawza,,l,modern
Hawvey,,l,"old english, modern"
Wittwe,,l,"old english, modern"
Buwton,,l,"old english, modern"
Stanwey,,l,"old english, modern"
Geowge,m,"f, l","old english, modern"
Weid,,l,"old english, modern"
Fuwwew,,l,"old english, modern"
Wynch,,l,"old english, modern"
Giwbewt,m,"f, l","old english, modern"
Gawwett,,l,"old english, modern"
Womyewo,,l,modern
Wewch,,l,"old english, modern"
Fwaziew,,l,"old english, modern"
Buwke,,l,"old english, modern"
Myendoza,,l,"old english, modern"
Myowenyo,,l,modern
Bowmyan,,l,"old english, modern"
Myedinya,,l,modern
Fowwew,,l,"old english, modern"
Bwewew,,l,"old english, modern"
Hoffmyan,,l,"old english, modern"
Cawwson,,l,"old english, modern"
Siwva,,l,modern
Peawson,,l,"old english, modern"
Howwand,,l,"old english, modern"
Dougwas,m,"f, l","old english, modern"
Fwemying,,l,"old english, modern"
Vawgas,,l,modern
Bywd,,l,"old english, modern"
Myay,f,"f, l","old english, modern"
Tewwy,"m, f","f, l","old english, modern"
Hewwewa,,l,modern
Wawtews,,l,"old english, modern"
Cuwtis,m,"f, l","old english, modern"
Nyeaw,m,"f, l","old english, modern"
Cawdweww,,l,"old english, modern"
Wowe,,l,"old english, modern"
Jennyings,,l,"old english, modern"
Bawnyett,,l,"old english, modern"
Gwaves,,l,"old english, modern"
Jimyenyez,,l,modern
Howton,,l,"old english, modern"
Shewton,,l,"old english, modern"
Bawwett,,l,"old english, modern"
Obwien,,l,"old english, modern"
Castwo,,l,modern
Gwegowy,m,"f, l","old english, modern"
Mckinnyey,,l,"old english, modern"
Wucas,,l,"old english, modern"
Myiwes,,l,"old english, modern"
Cwaig,,l,"old english, modern"
Wodwiquez,,l,modern
Chambews,,l,"old english, modern"
Howt,,l,"old english, modern"
Wambewt,,l,"old english, modern"
Fwetchew,,l,"old english, modern"
Hawe,,l,"old english, modern"
Whodes,,l,"old english, modern"
Penya,,l,modern
Nyewmyan,,l,"old english, modern"
Haynyes,,l,"old english, modern"
McDanyiew,,l,"old english, modern"
Myendez,,l,modern
Pawks,,l,"old english, modern"
Nyowwis,,l,"old english, modern"
Hawdy,,l,"old english, modern"
Wove,,l,"old english, modern"
Steewe,,l,"old english, modern"
Cuwwy,,l,"old english, modern"
Powews,,l,"old english, modern"
Schuwtz,,l,"old english, modern"
Bawkew,,l,"old english, modern"
Guzmyan,,l,"old english, modern"
Myunyoz,,l,modern
Baww,,l,"old english, modern"
Kewwew,,l,"old english, modern"
Chandwew,,l,"old english, modern"
Webew,,l,"old english, modern"
Weonyawd,m,"f, l","old english, modern"
Wawsh,,l,"old english, modern"
Wyons,,l,"old english, modern"
Wamsey,,l,"old english, modern"
Wowfe,,l,"old english, modern"
Schnyeidew,,l,"old english, modern"
Myuwwins,,l,"old english, modern"
Shawp,,l,"old english, modern"
Danyiew,,l,"old english, modern"
Bawbew,,l,"old english, modern"
Cummyings,,l,"old english, modern"
Hinyes,,l,"old english, modern"
Bawdwin,,l,"old english, modern"
Gwiffith,,l,"old english, modern"
Vawdez,,l,modern
Hubbawd,,l,"old english, modern"
Sawazaw,,l,modern
Weeves,,l,"old english, modern"
Wawnyew,,l,"old english, modern"
Buwgess,,l,"old english, modern"
Cwoss,,l,"old english, modern"
Gawnyew,,l,"old english, modern"
Myann,,l,"old english, modern"
Myack,,l,"old english, modern"
Myoss,,l,"old english, modern"
Thownton,,l,"old english, modern"
Dennyis,m,"f, l","old english, modern"
Fawmyew,,l,"old english, modern"
Dewgado,,l,modern
Aguiwaw,,l,"old english, modern"
Gwovew,,l,"old english, modern"
Myannying,,l,"old english, modern"
Hawmyon,,l,"old english, modern"
Wodgews,,l,"old english, modern"
Wobbins,,l,"old english, modern"
Nyewton,,l,"old english, modern"
Bwaiw,f,"f, l","old english, modern"
Ingwam,,l,"old english, modern"
Weese,"m, f","f, l","old english, modern"
Cannyon,,l,"old english, modern"
Stwickwand,,l,"old english, modern"
Pottew,,l,"old english, modern"
Wawton,,l,"old english, modern"
Owtega,,l,modern
Fwancis,m,"f, l","old english, modern"
Goodmyan,,l,"old english, modern"
Myawdonyado,,l,modern
Beckew,,l,"old english, modern"
Ewickson,,l,"old english, modern"
Wios,,l,modern
Connyew,m,"f, l","old english, modern"
Webstew,,l,"old english, modern"
Nyowmyan,m,"f, l","old english, modern"
Myawonye,,l,"old english, modern"
Hammyond,,l,"old english, modern"
Fwowews,,l,"old english, modern"
Myoody,,l,"old english, modern"
Bwake,m,"f, l","old english, modern"
Myaxweww,,l,"old english, modern"
Fwoyd,,l,"old english, modern"
Osbownye,,l,"old english, modern"
Pauw,m,"f, l","old english, modern"
McCawthy,,l,"old english, modern"
Guewwewo,,l,modern
Windsey,"m, f","f, l","old english, modern"
Estwada,,l,modern
Sandovaw,,l,modern
Tywew,m,"f, l","old english, modern"
Gwoss,,l,"old english, modern"
Fitzgewawd,,l,"old english, modern"
Doywe,,l,"old english, modern"
Shewmyan,m,"f, l","old english, modern"
Saundews,,l,"old english, modern"
Cowon,,l,"old english, modern"
Giww,m,"f, l","old english, modern"
Awvawado,,l,modern
Gweew,,l,"old english, modern"
Padiwwa,,l,modern
Simyon,m,"f, l","old english, modern"
Watews,,l,"old english, modern"
Nyunyez,,l,modern
Bawwawd,,l,"old english, modern"
Schwawtz,,l,"old english, modern"
McBwide,,l,"old english, modern"
Chwistensen,,l,"old english, modern"
Kwein,,l,"old english, modern"
Pwatt,,l,"old english, modern"
Bwiggs,,l,"old english, modern"
Pawsons,,l,"old english, modern"
Mcwaughwin,,l,"old english, modern"
Zimmyewmyan,,l,"old english, modern"
Buchanyan,,l,"old english, modern"
Myowan,,l,"old english, modern"
Copewand,,l,"old english, modern"
Woy,m,"f, l","old english, modern"
Pittmyan,,l,"old english, modern"
Bwady,,l,"old english, modern"
McCowmyick,,l,"old english, modern"
Howwoway,,l,"old english, modern"
Bwock,,l,"old english, modern"
Poowe,,l,"old english, modern"
Fwank,,l,"old english, modern"
Wogan,m,"f, l","old english, modern"
Myawsh,,l,"old english, modern"
Dwake,,l,"old english, modern"
Jeffewson,,l,"old english, modern"
Pawk,,l,"old english, modern"
Myowton,,l,"old english, modern"
Spawks,,l,"old english, modern"
Patwick,m,"f, l","old english, modern"
Nyowton,m,"f, l","old english, modern"
Cwayton,,l,"old english, modern"
Myassey,,l,"old english, modern"
Wwoyd,m,"f, l","old english, modern"
Figuewoa,,l,modern
Cawson,m,"f, l","old english, modern"
Bowews,,l,"old english, modern"
Wobewson,,l,"old english, modern"
Bawton,,l,"old english, modern"
Twan,,l,"old english, modern"
Wamb,f,"f, l","old english, modern"
Hawwington,,l,"old english, modern"
Boonye,,l,"old english, modern"
Cowtez,,l,modern
Cwawke,m,"f, l","old english, modern"
Myathis,,l,"old english, modern"
Singweton,,l,"old english, modern"
Wiwkins,,l,"old english, modern"
Bwyan,m,"f, l","old english, modern"
Undewwood,,l,"old english, modern"
Cowwiew,,l,"old english, modern"
Wunya,f,"f, l",modern
Phewps,,l,"old english, modern"
McGuiwe,,l,"old english, modern"
Awwison,f,"f, l","old english, modern"
Bwidges,,l,"old english, modern"
Wiwkewson,,l,"old english, modern"
Nyash,,l,"old english, modern"
Summyews,,l,"old english, modern"
Wiwcox,,l,"old english, modern"
Conwey,,l,"old english, modern"
Myawquez,,l,modern
Buwnyett,,l,"old english, modern"
Wichawd,m,"f, l","old english, modern"
Cochwan,,l,"old english, modern"
Davenpowt,,l,"old english, modern"
Cway,,l,"old english, modern"
Ayawa,,l,modern
Sawyew,,l,"old english, modern"
Womyan,m,"f, l","old english, modern"
Dickewson,,l,modern
Fwynn,,l,"old english, modern"
Espinyoza,,l,modern
Nyichowson,,l,"old english, modern"
Myonwoe,,l,"old english, modern"
Wowf,,l,"old english, modern"
Myowwow,,l,"old english, modern"
Kiwk,,l,"old english, modern"
Wandaww,m,"f, l","old english, modern"
Whitakew,,l,"old english, modern"
Oconnyow,,l,"old english, modern"
Skinnyew,,l,"old english, modern"
Wawe,,l,"old english, modern"
Myowinya,,l,modern
Kiwby,,l,"old english, modern"
Huffmyan,,l,"old english, modern"
Bwadfowd,,l,"old english, modern"
Chawwes,m,"f, l","old english, modern"
Giwmyowe,,l,"old english, modern"
Domyinguez,,l,modern
Onyeaw,,l,"old english, modern"
Bwuce,m,"f, l","old english, modern"
Wang,,l,"old english, modern"
Kwamyew,,l,"old english, modern"
Gawwaghew,,l,"old english, modern"
Gainyes,,l,"old english, modern"
Shaffew,,l,"old english, modern"
Showt,,l,"old english, modern"
Myathews,,l,"old english, modern"
McCwain,,l,"old english, modern"
Fischew,,l,"old english, modern"
Waww,,l,"old english, modern"
Smyaww,,l,"old english, modern"
Myewton,,l,"old english, modern"
Henswey,,l,"old english, modern"
Dyew,,l,"old english, modern"
Camyewon,"m, f","f, l","old english, modern"
Gwimyes,,l,"old english, modern"
Contwewas,,l,"old english, modern"
Chwistian,m,"f, l","old english, modern"
Baxtew,,l,"old english, modern"
Snyow,,l,"old english, modern"
Myoswey,,l,"old english, modern"
Shephewd,,l,"old english, modern"
Wawsen,,l,"old english, modern"
Hoovew,,l,"old english, modern"
Beaswey,,l,"old english, modern"
Gwenn,,l,"old english, modern"
Petewsen,,l,"old english, modern"
Myeyews,,l,"old english, modern"
Gawwison,,l,"old english, modern"
Shiewds,,l,"old english, modern"
Hown,,l,"old english, modern"
Owsen,,l,"old english, modern"
Schwoedew,,l,"old english, modern"
Hawtmyan,,l,"old english, modern"
Woodawd,,l,"old english, modern"
Myuewwew,,l,"old english, modern"
Deweon,,l,"old english, modern"
Patew,,l,"old english, modern"
Cawhoun,,l,"old english, modern"
Wiwey,,l,"old english, modern"
Cwinye,,l,"old english, modern"
Nyavawwo,,l,modern
Hawweww,,l,"old english, modern"
Westew,,l,"old english, modern"
Humphwey,,l,"old english, modern"
Pawwish,,l,"old english, modern"
Duwan,,l,"old english, modern"
Dowsey,,l,"old english, modern"
Buwwock,,l,"old english, modern"
Wobwes,,l,"old english, modern"
Beawd,,l,"old english, modern"
Dawton,,l,"old english, modern"
Aviwa,,l,"old english, modern"
Wich,m,"f, l","old english, modern"
Bwackweww,,l,"old english, modern"
Yowk,,l,"old english, modern"
Bwankenship,,l,"old english, modern"
Twevinyo,,l,"old english, modern"
Sawinyas,,l,modern
Pwuitt,,l,"old english, modern"
Myoses,m,"f, l","old english, modern"
Cawwahan,,l,"old english, modern"
Gowden,,l,"old english, modern"
Myontoya,,l,modern
Hawdin,,l,"old english, modern"
Guewwa,,l,"old english, modern"
McDoweww,,l,"old english, modern"
Cawey,,l,"old english, modern"
Staffowd,,l,"old english, modern"
Gawwegos,,l,modern
Wiwkinson,,l,"old english, modern"
Bookew,,l,"old english, modern"
Myewwitt,,l,"old english, modern"
Myiwanda,f,"f, l",modern
Oww,,l,"old english, modern"
Deckew,,l,"old english, modern"
Pweston,,l,"old english, modern"
Tannyew,m,"f, l","old english, modern"
Knyox,,l,"old english, modern"
Gwass,,l,"old english, modern"
Wojas,,l,modern
Sewwanyo,,l,modern
Myawks,,l,"old english, modern"
Hickmyan,,l,"old english, modern"
Engwish,,l,"old english, modern"
Sweenyey,,l,"old english, modern"
Stwong,,l,"old english, modern"
Pwince,,l,"old english, modern"
McCwuwe,,l,"old english, modern"
Wawtew,m,"f, l","old english, modern"
Woth,,l,"old english, modern"
Myaynyawd,,l,"old english, modern"
Fawweww,,l,"old english, modern"
Wowewy,,l,"old english, modern"
Huwst,,l,"old english, modern"
Nyixon,m,"f, l","old english, modern"
Twujiwwo,,l,modern
Ewwison,,l,"old english, modern"
Swoan,,l,"old english, modern"
Juawez,,l,modern
Wintews,,l,"old english, modern"
McWean,,l,"old english, modern"
Wandowph,,l,"old english, modern"
Weon,m,"f, l","old english, modern"
Boyew,,l,"old english, modern"
Viwwawweaw,,l,modern
McCaww,,l,"old english, modern"
Gentwy,,l,"old english, modern"
Cawwiwwo,,l,modern
Ayews,,l,"old english, modern"
Wawa,f,"f, l","old english, modern"
Shannyon,f,"f, l","old english, modern"
Huww,,l,"old english, modern"
Webwanc,,l,"old english, modern"
Bwownying,,l,"old english, modern"
Vewasquez,,l,modern
Weach,,l,"old english, modern"
Sewwews,,l,"old english, modern"
Hewwing,,l,"old english, modern"
Nyobwe,,l,"old english, modern"
Fowey,,l,"old english, modern"
Bawtwett,,l,"old english, modern"
Myewcado,,l,modern
Wandwy,,l,"old english, modern"
Duwham,,l,"old english, modern"
Wawws,,l,"old english, modern"
Bauew,,l,"old english, modern"
Wivews,,l,"old english, modern"
Evewett,,l,"old english, modern"
Bwadshaw,,l,"old english, modern"
Vewez,,l,modern
Wush,,l,"old english, modern"
Myowse,,l,"old english, modern"
Sheppawd,,l,"old english, modern"
Camyacho,,l,modern
Bawwon,,l,"old english, modern"
Wivingston,,l,"old english, modern"
Myiddweton,,l,"old english, modern"
Speaws,,l,"old english, modern"
Bwanch,,l,"old english, modern"
Bwevins,,l,"old english, modern"
Keww,,l,"old english, modern"
McConnyeww,,l,"old english, modern"
Hatfiewd,,l,"old english, modern"
Hawding,,l,"old english, modern"
Ashwey,"m, f","f, l","old english, modern"
Sowis,,l,modern
Hewmyan,m,l,"old english, modern"
Fwost,,"f, l","old english, modern"
Giwes,,l,"old english, modern"
Bwackbuwn,,l,"old english, modern"
Wiwwiam,m,"f, l","old english, modern"
Pennyington,,l,"old english, modern"
Woodwawd,,l,"old english, modern"
Finwey,,l,"old english, modern"
Sowomyon,m,"f, l","old english, modern"
McCuwwough,,l,"old english, modern"
Dudwey,m,"f, l","old english, modern"
Nyowan,m,"f, l","old english, modern"
Bwanchawd,,l,"old english, modern"
Wivas,,l,modern
Bwennyan,,l,"old english, modern"
Myejia,,l,modern
Kanye,m,"f, l","old english, modern"
Buckwey,,l,"old english, modern"
Hawey,f,"f, l","old english, modern"
Vawentinye,f,"f, l","old english, modern"
Myaddox,,l,"old english, modern"
Wusso,,l,modern
McKnyight,,l,"old english, modern"
Myoon,f,"f, l","old english, modern"
McMyiwwan,,l,"old english, modern"
Cwosby,,l,"old english, modern"
Bewg,,l,"old english, modern"
Myays,,l,"old english, modern"
Woach,,l,"old english, modern"
Chuwch,,l,"old english, modern"
Wichmyond,,l,"old english, modern"
Myeadows,,l,"old english, modern"
Fauwknyew,,l,"old english, modern"
Onyeiww,,l,"old english, modern"
Knyapp,,l,"old english, modern"
Kwinye,,l,"old english, modern"
Bawwy,m,"f, l","old english, modern"
Avewy,m,"f, l","old english, modern"
Hendwicks,,l,"old english, modern"
Hownye,,l,"old english, modern"
Shepawd,,l,"old english, modern"
Hebewt,,l,"old english, modern"
Chewwy,,l,"old english, modern"
Cawdenyas,,l,modern
McIntywe,,l,"old english, modern"
Whitnyey,f,"f, l","old english, modern"
Wawwew,,l,"old english, modern"
Howmyan,,l,"old english, modern"
Donyawdson,,l,"old english, modern"
Tewweww,m,"f, l","old english, modern"
Myowin,,l,"old english, modern"
Giwwespie,,l,"old english, modern"
Tiwwmyan,,l,"old english, modern"
Sanfowd,,l,"old english, modern"
Bentwey,,l,"old english, modern"
Sawas,,l,modern
Wowwins,,l,"old english, modern"
Gambwe,,l,"old english, modern"
Battwe,,l,"old english, modern"
Santanya,,l,modern
Cabwewa,,l,modern
Cewvantes,,l,modern
Huwwey,,l,"old english, modern"
Zamyowa,,l,modern
McNyeiw,,l,"old english, modern"
Suawez,,l,modern
Gouwd,,l,"old english, modern"
McFawwand,,l,"old english, modern"
Cawvew,,l,"old english, modern"
Bway,,l,"old english, modern"
Wosawio,,l,modern
MyacDonyawd,,l,"old english, modern"
Hestew,,l,"old english, modern"
Myewendez,,l,modern
Diwwon,,l,"old english, modern"
Fawwey,f,"f, l","old english, modern"
Hoppew,,l,"old english, modern"
Gawwoway,,l,"old english, modern"
Bewnyawd,m,"f, l","old english, modern"
Joynyew,,l,"old english, modern"
Aguiwwe,,l,modern
Osbown,,l,"old english, modern"
Myewcew,,l,"old english, modern"
Bendew,,l,"old english, modern"
Fwanco,,l,"old english, modern"
Wowwand,,l,"old english, modern"
Benjamyin,m,"f, l","old english, modern"
Twavis,m,"f, l","old english, modern"
Cwanye,,l,"old english, modern"
Seaws,,l,"old english, modern"
Dunwap,,l,"old english, modern"
Wiwdew,,l,"old english, modern"
McCawty,,l,"old english, modern"
Coowey,,l,"old english, modern"
Bonnyew,,l,"old english, modern"
Howdew,,l,"old english, modern"
Stawk,,l,"old english, modern"
Fewweww,,l,"old english, modern"
Cantweww,,l,"old english, modern"
Fuwton,,l,"old english, modern"
Wynn,f,"f, l","old english, modern"
Wott,,l,"old english, modern"
Cawdewon,,l,modern
Wosa,,l,modern
Powwawd,,l,"old english, modern"
Hoopew,,l,"old english, modern"
Buwch,,l,"old english, modern"
Myuwwen,,l,"old english, modern"
Fwy,,l,"old english, modern"
Widdwe,m,"f, l","old english, modern"
Wevy,,l,"old english, modern"
Odonnyeww,,l,"old english, modern"
Myichaew,m,"f, l","old english, modern"
Bwitt,,l,"old english, modern"
Fwedewick,m,"f, l","old english, modern"
Daughewty,,l,"old english, modern"
Bewgew,,l,"old english, modern"
Diwwawd,,l,"old english, modern"
Awston,,l,"old english, modern"
Jawvis,,l,"old english, modern"
Fwye,,l,"old english, modern"
Wiggs,,l,"old english, modern"
Chanyey,,l,"old english, modern"
Fitzpatwick,,l,"old english, modern"
Vawenzuewa,,l,modern
Myewwiww,,l,"old english, modern"
Myayew,,l,"old english, modern"
Awfowd,,l,"old english, modern"
Mcphewson,,l,"old english, modern"
Donyovan,,l,"old english, modern"
Bawwewa,,l,modern
Awbewt,,l,"old english, modern"
Weiwwy,,l,"old english, modern"
Waymyond,m,"f, l","old english, modern"
Myoonyey,,l,"old english, modern"
Cwaft,,l,"old english, modern"
Cwevewand,,l,"old english, modern"
Cwemyons,,l,"old english, modern"
Nyiewsen,,l,"old english, modern"
Baiwd,,l,"old english, modern"
Snyidew,,l,"old english, modern"
Wosawes,,l,modern
Bwight,,l,"old english, modern"
Stuawt,m,"f, l","old english, modern"
Howden,m,"f, l","old english, modern"
Wutwedge,,l,"old english, modern"
Kinnyey,,l,"old english, modern"
Cwemyents,,l,"old english, modern"
Castanyeda,,l,modern
Swatew,,l,"old english, modern"
Emyewson,,l,"old english, modern"
Conwad,m,"f, l","old english, modern"
Buwks,,l,"old english, modern"
Dewanyey,,l,"old english, modern"
Wancastew,,l,"old english, modern"
Shawpe,,l,"old english, modern"
Whitfiewd,,l,"old english, modern"
Tawwey,,l,"old english, modern"
Myacias,,l,modern
