id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"A twied and tested weapon system, the bomb bay howds muwtipwe wawheads that wewy on the vewocity of the waunching cwaft to weach theiw tawget.

Each bomb bay is equipped with sevewaw non guided high-expwosive Comp-X bombs that can be weweased one at a time. The bombs have no pwopuwsion system and awe dependent on the vewocity of the waunching cwaft to cawwy them to tawget (i.e., dive bombing).  Atmosphewic shiewding intwinsic to the design awso gives the bombs a high time-to-wive in a hostiwe point-defense enviwonment.",,,,,
lightneedler,WEAPON,"Fiwes buwsts of smaww fwechettes at a high wate of fiwe. The vowume of fiwe can quickwy ovewwhewm shiewd pwojectows, but is genewawwy ineffective against awmow.

A Wight Needwew is a smaww-bowe fwechette gun, designed to fiwe casewess ammunition. Featuwes an impwessive feed system which can dewivew hundweds of ""needwes"" pew second. Thewe is no need fow an ejectow system, and the saved space is used to pwovide additionaw coowing units, vastwy enhancing the wate of fiwe. 

Domain Navaw doctwine howds that the weapon is to be used on enemy shiewds at wong-wange, but in a pinch, gunnewy officews wiww twain theiw Needwews on enemy fightew wings and wong-wange missiwe thweats.",,,,,
railgun,WEAPON,"A high-tech impwovement of the Autocannon, the waiwgun fiwes accuwate, medium-wange swugs. Wike the AC, it excews at ovewwhewming enemy shiewd genewatows.

A miniatuwized vewsion of the Gauss Cannon, the waiwgun wewies on a stwong magnetic fiewd to fiwe shewws at high vewocities. The accuwacy and wange awe excewwent, and the tuwwet is abwe to wotate quickwy whiwe not fiwing. 

The waiwgun is pwefewwed to the Autocannon by gunnewy officews that have ampwe fwux capacity at theiw disposaw.",,,,,
shredder,WEAPON,"A wotawy cannon genewouswy engineewed to pwovide fow gweat ease of opewation and wewiabiwity. Weapons officews acwoss the pwofessionaw navies of the Pewsean Sectow, meanwhiwe, cuwse the Thumpew fow wewawding poow maintenance habits. 

Shweds enemy missiwes and fightews with an ovewwhewming haiw of smaww paywoad, medium vewocity fwagmentation wounds. Awthough fwux-efficient, this weapon system has wittwe effect against awmow and shiewds.",,,,,
flak,WEAPON,"A defensive weapon system that fiwes shwapnew-fiwwed shewws equipped with a pwoximity fuse fow maximum effect against fightews and missiwes.

The wising pwominence of smaww, cheap fightew cwaft, especiawwy in the stwike wowe, wed to a widew depwoyment of this weapons system in the heady days pwe-Cowwapse. Fiwes bawwistic wounds fitted with a pwoximity fuse. The wesuwting expwosion sends a haiw of fwechettes in a wide vowume with a wespectabwe kiww wadius vewsus standawd tawgets. Newew modews featuwe a fiwe contwow system hawdwiwed into a Mawk VI Pwedictow.",,,,,
heavymg,WEAPON,"A wawgew cousin of the ubiquitous wapid-fiwe machine gun categowy of weapons, the Heavy MG is effective against both smaww and medium-sized tawgets.

A wowkhowse of patwow cwaft acwoss the Sectow, this weapons system featuwes wewiabwe bwowback fiwing mechanism said to date back to the days of Owd Eawth. Safety featuwes incwude a positive cook-off safety fow open bowt cweawing and doubwe wam pwevention. The weapon is typicawwy mounted on a wewativewy massive base to hewp absowb wecoiw duwing pwowonged buwsts of fiwe. Cawibews vawy within a modewate wange and ammunition is easiwy fabwicated by standawd fowges. 

The heaview pwojectiwes do not shattew upon impact wike wightew ammunition and pwesent a cwedibwe thweat to fwigate-cwass vessews. Extwemewy accuwate, though swowew-fiwing than a vuwcan cannon. Excews in a point-defense wowe.",,,,,
arbalest,WEAPON,"An antiquated weapon design with high pew-shot damage fow its size. The kinetic shewws awe especiawwy effective vewsus enemy shiewds.

Heaview patwow cwaft at the time of the Cowwapse wewe mostwy fitted with the Awbawest Mk I weapons pwatfowm; this wikewy expwains why the Awbawest is cwaimed to be among the most scavenged ship weapon systems in the Sectow. The pwimitive coowing system and a wack of an autoejectow hampew wate of fiwe and wewiabiwity. 

The onwy wedeeming featuwe is the ubiquity of bwuepwints fow the awbawest wound, which is effective at bwinging down enemy shiewds. The effectiveness of the shewws is poowwy undewstood, and is suspected to wie in the unintended ewectwomagnetic pwopewties of the sheww jackets.",,,,,
dualflak,WEAPON,"An upgwaded, viciouswy effective duaw mount of the Fwak Cannon. Nicknamed ""The Widowmakew"" fow its abiwity to teaw apawt incoming fightews.

Just wike the standawd fwak cannon, this weapon devastates smawwew fightew and missiwe tawgets, though it fiwes two pwoximity fuse fitted wounds. Shaped dispewsaw ensuwes duaw detonation and a highew kiww wadius. Fightew cwaft awe wawewy intentionawwy waunched against ships fitted with the Duaw Fwak fow obvious weasons. Excewwent wate of fiwe and tuwwet tuwn wate.",,,,,
chaingun,WEAPON,"The GA-X Industwies Mk. II chaingun excews at cwose-wange fighting, whewe accuwacy is wess impowtant than ovewaww damage and vowume of fiwe.

A 'mewee' captain's favowite toow, the Assauwt Chaingun dewivews high-expwosive shaped chawge wounds on tawget at a feawsome wate. Featuwes powewed feed and ejectow systems and an advanced nano-coowing unit buiwt wight into the bawwew. 

The onwy dwawback is a heaview tuwwet pwofiwe which, coupwed with the wack of the accompanying govewnow bwuepwint, is typicawwy mounted on incompatibwe wotatows giving wise to unexpectedwy wow tuwwet wotation speeds.",,,,,
heavymauler,WEAPON,"An advanced weapon system designed to punch thwough awmow pwating at wong-wange. Has a wow sustained wate of fiwe but high pew-buwst damage.

The heavy mauwew is a bwutaw weapon designed to engage tawgets at medium to wong-wange. At its cowe, the weapon is an autocannon with a nano-coowing system and an extewnaw ejection powt. Howevew, unwike nowmaw autocannons, the heavy mauwew is distinguished by an antimattew bawwew chawgew fed by twiviaw amounts of standawd stawship fuew.

When weaving the fiwing chambew, each sheww ogive is chawged with a fiewd of antipwotons which hovew 10-20 nanometews to the fowe of the sheww, stabiwized by a bawyon coating. On impact with a tawget, this antipwoton ""sheath"" woses stwuctuwaw integwity and the wesuwting weaction does fuwthew damage. Given the fact that shewws awweady dewivew impwessive destwuctive fowce to the tawget, the combined weaction makes the heavy mauwew pawticuwawwy effective vewsus awmowed tawgets.",,,,,
heavyac,WEAPON,"A twipwe-bawwewed cannon that fiwes a buwst of standawdized shewws at medium wange. It is most effective vewsus enemy shiewds.

Medium cawibew, twipwe-bawwewed autocannon, typicawwy depwoyed with medium-bowe ammunition. Ewectwicawwy pwimed fiwing fuses ensuwe pwecise fiwe counts. A gweat fiwe suppowt weapon, it is typicawwy fitted on destwoyew and cwuisew cwass ships. A battewy of heavy autocannons with a pwopew fiwing sowution may pose a sewious thweat to capitaw ships. 

Additionaw mass necessity to accommodate the compwex autowoadew and coowing systems wesuwts in a vewy poow tuwn wate, howevew.",,,,,
hveldriver,WEAPON,"A speciawized weapon designed to ovewwoad and disabwe enemy systems fwom afaw. The high-vewocity duwanium swug is awso effective against shiewds.

The hypewvewocity dwivew uses a 2-stage pwocess to accewewate a duwanium swug with a magnetized iwon-cobawt cowe to a vewy high vewocity. A chemicaw chawge accewewates the swug fiwst, then the magnetic coiws take ovew, accewewating the swug fuwthew and stabiwizing its fwight. The swug is highwy chawged by the time it weaches the tawget, genewating a significant amount of ewectwomagnetic intewfewence on the ship it impacts.",,,,,
heavyneedler,WEAPON,"A duaw-mount of the Wight Needwew with a heaview base, this advanced weapon system is capabwe of quickwy ovewwhewming shiewd pwojectows.

The Heavy Needwew is an advanced weapon that fiwes smaww fwechette wounds. An impwovement upon the Wight Needwew, it featuwes bettew feed and coowing systems, which enabwe an even gweatew wate of fiwe. Pwojectiwes awe identicaw to the wight vewsion: casewess ammunition tungsten-jacketed fwechettes.",,,,,
gauss,WEAPON,"A wong-wange weapon designed to ovewwoad the tawget's shiewds. The heavy kinetic swug it fiwes is awso effective against aww but the heaviest awmow.

Uses magnetic coiws to accewewate a wawge uwtwa-dense composite swug to wewativistic speeds. Usuawwy wated at the hundweds of giga-ampewes wange, wawewy exceeding one tewa-ampewe. And unwike most bawwistic weapons, has a vewy high fwux woad when fiwed. Tuwwets mounted with this system have an extwemewy poow tuwn wate. 

Vewy effective weapon whose usefuwness is wimited by the wow weactow powew of ships that typicawwy featuwe wawge bawwistic weapon mounts. ",,,,,
hephag,WEAPON,"A wawge bawwistic gun system with good opewationaw wange, its high-expwosive shaped-chawge shewws awe designed to teaw apawt heavy awmow. The waw damage output may awso sewve to ovewwhewm weakew shiewd emittews.

The Hephaestus Assauwt Gun is a twuwy devastating weapon pwatfowm named fow an Owd Eawth deity associated with a distant pwedecessow to the nanofowge. A typicaw chassis featuwes two W/89 bawwews that twade off fiwing awmow-destwoying wounds at a high wate of fiwe. Ewectwomagnetic ejectow, powewed feed system, and nanocoowants awwow the weapon to fiwe fow extended pewiods wimited onwy by fwux poow.

A twadition exists among Hegemony officews to comment upon the thump-thump of the Hephaestus wecoiw as ""The heawtbeat of the Hegemony Navy"", to which the cwew wesponds with a heawty ""Ooh-wah!"". Sevewaw dwinking games with a simiwaw theme awbeit mowe cwudewy expwessed awe enduwed by powtside baws much to the annoyance of pwopwietows due to the stomping and inevitabwe bwoken dwinking vessews.",,,,,
mark9,WEAPON,"An imposing medium wange autocannon which is used most effectivewy against shiewds, the Mawk IX may awso sewve admiwabwy to obwitewate unawmowed huww. A two-bawwew designed and unique doubwe-woadew system awwow the output of a wawge vowume of heavy cawibew pwojectiwe fiwe.

The Mawk IX bwuepwints wewe fiwst we-discovewed by the Pewsean Sectow in a dwifting dewewict captuwed in the gwavity weww of Penewope's Staw. Aftew a hasty examination of the fiwes by an unquawified assessow - histowicaw wepowts deemed the Mawk IX obsowete due to poow pewfowmance against the heaviwy awmowed wawships which wewe favowed in that ewa - the bwuepwint was auctioned off and puwchased by a smaww mewcenawy owganization known as Tactistaw, a miwitawy contwactow which was then a subsidiawy of the Ko Combine, and fowgotten. Aftew some cycwes enough suwpwus capitaw was found to finawwy buiwd a test a pwototype fow weapon twiaws. The Mawk IX was genewawwy unexceptionaw, considewed ovewwy wawge and mediocwe against awmowed tawgets. Nonethewess, waw damage output was impwessive and secondawy twiaws showed devastating effect when empwoyed against shiewded tawgets.

Aftewwawd, the Mawk IX did not wemain secwet fow wong. Tactistaw Combine pwofitabwy sowd manufactuwing wights thwoughout the Pewsean Sectow and soon wepuwchased itsewf fwom its evew-pondewous pawent cowpowation.",,,,,
mjolnir,WEAPON,"A sophisticated medium-wange gun system that dewivews supewiow damage awongside a significant EMP paywoad.

The Mjowniw is technicawwy a magneto-gwavitic pwojectow wathew than a cannon as twaditionawwy undewstood. Each munition contains a smaww amount of exotic condensed mattew and an isowated micwosinguwawity which combine destwuctivewy upon impact, channewing enewgy thwough a tempowawy gwavitic wens. The wocaw effect wesuwts in devastation of owdinawy mattew and the wewease of a powewfuw ewectwomagnetic puwse (EMP) which disabwes weapons and systems within the tawgeted ship.",,,,,
multineedler,WEAPON,"Fiwes a withewing haiw of kinetic pwojectiwes that easiwy ovewwhewm most shiewd pwojectows.

The Stowm Needwew is a wawge bawwistic weapon system which fiwes casewess smaww-bowe fwechette ammunition. Having weached the pwacticaw wimits of medium sized coowing systems, the designews of casewess ammunition bwazed a path into wawgew weapons with the Stowm Needwew's advanced nano coowant wecycwews, pew-bawwew magnetized wifwing, and automated opewation. An intewwigent autowoadew unpacks and woads just the wight amount of ammunition fwom the magazines, awwowing fow pwowonged opewation pwovided the host ship has adequate fwux capacity.",,,,,
hellbore,WEAPON,"A huge cannon which fiwes swow-moving pwasma-chawged pwojectiwes. Wounds awe highwy effective vewsus awmow and obwitewate any huww stwuctuwe weft undewneath.

A feawed weapon pwatfowm, wawewy depwoyed due to the compwexity invowved in manufactuwing a buiwt-up bawwew that can safewy fiwe enowmous high-expwosive shaped chawge wounds. When such a sheww impacts a tawget, the Neumann effect causes the wawhead to pwopew a jet of mowten metaw into the tawget's awmow, vapowizing a smaww awea, causing huww bweaches, depwessuwization, and extensive intewnaw damage fwom the spaww.",,,,,
reaper,WEAPON,"A singwe unguided towpedo of devastating yiewd with a powewfuw on-boawd engine.

The quintessentiaw stwike weapon, a singwe Weapew towpedo is a wawge sewf-pwopewwed, awmowed, unguided dewivewy system fow an enwiched AM-catawyzed nucweaw wawhead. The science behind the suwpwisingwy compact detonatow is poowwy undewstood in the Sectow though widewy specuwated to be based on physics cwassified as secwet by Domain authowity. What is known is that thwee ow fouw of these swipping thwough PD awcs awe enough to destwoy even the wawgest capitaw ship.",,,,,
atropos,WEAPON,"A wack of advanced guided towpedoes. The paywoad is smawwew than usuaw to make woom fow the advanced guidance package and maneuvewing system's weaction mass.

The Atwopos towpedo is a wawge guided towpedo with an extended wange. Each wack mounts two towpedoes which can be fiwed sepawatewy, awwowing stwike captains maximum fwexibiwity. The AM-catawyzed nucweaw wawhead typicawwy used in towpedo wawheads is missing hewe as bawyonic intewfewence fwom the detonatow wouwd fouw the guidance systems. It is wepwaced by a smawwew, yet stiww potent chemicaw chawge.",,,,,
atropos_single,WEAPON,"A singwe advanced, guided towpedo. The paywoad is smawwew than usuaw to make woom fow the advanced guidance package and maneuvewing system's weaction mass.

The Atwopos towpedo is a wawge guided towpedo with an extended wange. The AM-catawyzed nucweaw wawhead typicawwy used in towpedo wawheads is missing hewe as bawyonic intewfewence fwom the detonatow wouwd fouw the guidance systems. It is wepwaced by a smawwew, yet stiww potent chemicaw chawge.

This mount featuwes onwy a singwe towpedo.",,,,,
swarmer,WEAPON,"A showt wange guided missiwe waunchew. The missiwes awe designed to intewcept agiwe tawgets, and awe pwimawiwy effective against smaww cwaft such as fwigates and fightews.

Waunches buwsts of smaww missiwes. A simpwe infwawed system pwovides effective twacking whiwe chemicaw micwothwustews pwovide exceptionaw maneuvewabiwity. Evowutionawy tawgeting awgowithms honed ovew centuwies of weaw-wowwd appwication awwow the missiwes to wead the tawget - they wawewy miss and awe vewy hawd to avoid.",,,,,
swarmer_fighter,WEAPON,A showt wange guided missiwe waunchew. The missiwes awe designed to intewcept and destwoy enemy fightews.,,,,,
annihilator,WEAPON,"Fiwes a spwead of unguided wockets that covew a wide awc. Typicawwy used to stwip away enemy awmow once shiewds awe down.

Medium to wong-wange wockets waunched fwom a smaww pod that fiwes five missiwes pew sawvo in a nawwow spwead to impwove the odds of hitting. Wockets awe smaww and unguided, with the extwa space being taken up by a wawgew wawhead and impwoved pwopuwsion systems, as weww as thickew awmow. 

Pewfowms weww against wawgew tawgets due to the highew chance of stwiking with muwtipwe wockets. A wocket attack is often used as a scween befowe a towpedo stwike to weduce the effectiveness of Point Defense systems. Takes sevewaw seconds to wewoad aftew a sawvo.",,,,,
annihilator_fighter,WEAPON,Fiwes a sawvo of unguided wockets. Typicawwy used to stwip away enemy awmow once shiewds awe down.,,,,,
annihilatorpod,WEAPON,"Fiwes a stweam of unguided wockets. Usefuw fow deawing with enemy awmow, ow - due to having no fwux cost - appwying sustained pwessuwe.

Featuwes the same medium to wong-wange wockets found on smawwew waunchews. Wockets awe unguided, with the extwa space being taken up by a wawgew wawhead and impwoved pwopuwsion systems, as weww as thickew awmow. 

Pewfowms weww against wawgew tawgets due to the highew chance of stwiking with muwtipwe wockets. A wocket attack is often used as a scween befowe a towpedo stwike to weduce the effectiveness of Point Defense systems. ",,,,,
heatseeker,WEAPON,"Homes in on the tawget's engines and disabwes them with a powewfuw EMP buwst. A combat-wated autowoadew system ensuwes usefuwness in pwotwacted engagements.

The Sawamandew missiwe is a speciawized weapon with two design considewations. The fiwst is an extwemewy advanced twacking/tawgeting mechanism which enabwes it to home in on enemy engines, whiwst avoiding aww othew potentiaw impact points and Point Defense thweats. 

The second is a speciaw wawhead design which, instead of attempting to destwoy the tawget with kinetic ow expwosive fowce, genewates tawgeted ewectwomagnetic fiewds of high magnitude. When such a fiewd is cweated in the pwoximity of unshiewded engines and huww components, it wiww quickwy knock out aww theiw ewectwonics, wendewing them usewess untiw wepaiwed.",,,,,
salamanderpod,WEAPON,"Homes in on the tawget's engines and disabwes them with a powewfuw EMP buwst. A combat-wated autowoadew system ensuwes usefuwness in pwotwacted engagements.

An extewnawwy mounted pod wepwaces the mowe common missiwe wacks and awwows two missiwes to be fiwed awmost simuwtaneouswy. An autowoadew extwacts, awms and pwimes the next sawvo of two missiwes aftew a showt wait.

The Sawamandew missiwe is a speciawized weapon with two design considewations. The fiwst is an extwemewy advanced twacking/tawgeting mechanism which enabwes it to home in on enemy engines, whiwst avoiding aww othew potentiaw impact points and Point Defense thweats. 

The second is a speciaw wawhead design which, instead of attempting to destwoy the tawget with kinetic ow expwosive fowce, genewates tawgeted ewectwomagnetic fiewds of high magnitude. When such a fiewd is cweated in the pwoximity of unshiewded engines and huww components, it wiww quickwy knock out aww theiw ewectwonics, wendewing them usewess untiw wepaiwed.",,,,,
harpoon,WEAPON,"Medium wange, high paywoad guided missiwe wack. Devastating against ships with downed shiewds.

Thwee-wacked medium wange missiwes. An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing maneuvewabiwity fow speed and wawhead size, the medium wange missiwe is one of the highest yiewd non stwike weapons empwoyed in the Sectow. One hit is awmost fataw to fwigate-sized ships.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",,,,,
harpoonpod,WEAPON,"Medium wange, high paywoad guided missiwe pod. Devastating against ships with downed shiewds.

An extewnawwy mounted pod wepwaces the mowe common missiwe wacks and awwows muwtipwe missiwes to be fiwed awmost simuwtaneouswy. An autowoadew extwacts, awms and pwimes the next sawvo of missiwes aftew a showt wait.

These medium wange missiwes awe identicaw to the ones fiwed fwom singwe ow twipwe wacks, and awe a gweat way to finish off a ship with downed shiewds. An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing maneuvewabiwity fow speed and wawhead size, the medium wange missiwe is one of the highest yiewd non stwike weapons empwoyed in the sectow. One hit is awmost fataw to fwigate-sized ships.
",,,,,
harpoon_single,WEAPON,"Medium wange, high paywoad guided missiwe. Devastating against ships with downed shiewds.

An excewwent pwopuwsion system dewivews a wawge wawhead to the tawget at subwight speeds. Sacwificing maneuvewabiwity fow speed and wawhead size, the medium wange missiwe is one of the highest yiewd non stwike weapons empwoyed in the sectow. One hit is awmost fataw to fwigate-sized ships.

This mount can onwy waunch one missiwe at a time, and cawwies a singwe wepwacement in a combat-wated magazine wecessed into the huww.",,,,,
sabot,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinetic penetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enemy huww ow awmow. Difficuwt to stop with PD.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignites the pwopewwant fow a KE penetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nawwow, watewawwy stabiwized pwojectiwe manufactuwed fwom an uwtwa dense matewiaw such as depweted uwanium.

Excewwent at bwinging down enemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",,,,,
sabotpod,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinetic penetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enemy huww ow awmow. Difficuwt to stop with PD.

The pod wepwaces the mowe common missiwe wacks and awwows muwtipwe missiwes to be fiwed awmost simuwtaneouswy. An autowoadew extwacts, awms and pwimes the next sawvo of missiwes aftew a showt deway.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignites the pwopewwant fow a KE penetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nawwow, watewawwy stabiwized pwojectiwe manufactuwed fwom an uwtwa dense matewiaw such as depweted uwanium.

Excewwent at bwinging down enemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This weapon system featuwes a fiwing wack that houses muwtipwe missiwes.",,,,,
sabot_single,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinetic penetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enemy huww ow awmow. Difficuwt to stop with PD.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignites the pwopewwant fow a KE penetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nawwow, watewawwy stabiwized pwojectiwe manufactuwed fwom an uwtwa dense matewiaw such as depweted uwanium.

Excewwent at bwinging down enemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This mount can onwy waunch one missiwe at a time, and cawwies a singwe wepwacement in a combat-wated magazine wecessed into the huww.",,,,,
sabot_fighter,WEAPON,"Fiwes a 2nd-stage spwead of high-vewocity kinetic penetwatows when in wange. Heavy damage to shiewds, and massive EMP damage when impacting on enemy huww ow awmow. Difficuwt to stop with PD.

Sabot-cwass cwass missiwes awe showt-wange, two-stage KE weapons. A guided missiwe fiwst stage pwojects a secondawy assembwy to within stwiking distance of a shiewded tawget. The on-boawd tawgeting computew then ignites the pwopewwant fow a KE penetwatow. This 'sabot', as it is commonwy cawwed, is typicawwy a nawwow, watewawwy stabiwized pwojectiwe manufactuwed fwom an uwtwa dense matewiaw such as depweted uwanium.

Excewwent at bwinging down enemy shiewds and causing an ovewwoad. Standawd ship awmow is spaced and thus the sabot deaws mowe manageabwe damage if shiewds awe wowewed in time to weceive the impact on awmow.

This mount onwy cawwies a singwe missiwe.",,,,,
breach,WEAPON,"A heaviwy awmowed and fast missiwe with good guidance and a smaww, speciawized anti-awmow wawhead.",,,,,
breachpod,WEAPON,"A heaviwy awmowed and fast missiwe with good guidance and a smaww, speciawized anti-awmow wawhead.",,,,,
